date,home_team_api_id,away_team_api_id,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,betting_odds_home_avrg,betting_odds_draw_avrg,betting_odds_away_avrg,home_team_rating_avrg,away_team_rating_avrg,home_prev_5_goal_diff,away_prev_5_goal_diff,match_outcome
2008-12-01,8650,8654,7.4,7.6,8.8,5.0,10.0,13.0,1.0,1.6,0.0,0.0,18.2,13.8,5.2,4.8,52.2,47.2,1.2933333333333334,4.753333333333334,10.38888888888889,81.18181818181819,75.81818181818181,5.0,-3.0,0
2008-12-06,8634,10267,9.0,7.4,8.2,5.6,15.2,16.2,2.4,2.4,0.0,0.2,18.0,17.2,5.8,4.4,59.4,54.8,1.54,3.688888888888889,5.805555555555555,84.18181818181819,79.45454545454545,14.0,0.0,1
2008-12-06,8667,8549,5.2,6.4,5.0,8.0,15.4,10.6,1.8,2.0,0.0,0.0,17.2,18.6,4.0,4.8,49.8,49.2,2.3433333333333333,3.238888888888889,3.0,72.72727272727273,75.0,-2.0,-1.0,1
2008-12-06,9879,8456,6.4,4.2,4.0,5.2,11.8,16.6,1.0,1.4,0.0,0.2,17.6,15.8,5.6,3.4,48.4,48.2,2.583333333333334,3.216666666666667,2.695555555555556,76.0909090909091,75.0,1.0,-1.0,0
2008-12-06,8655,8650,5.6,7.8,5.0,9.6,12.6,8.6,2.2,1.2,0.0,0.0,18.6,21.6,6.6,7.2,44.8,52.6,5.283333333333333,3.4777777777777774,1.6855555555555555,75.63636363636364,81.18181818181819,-5.0,4.0,2
2008-12-06,10261,10194,4.6,4.2,5.8,2.8,11.4,13.6,2.0,2.4,0.0,0.0,12.6,18.8,2.0,3.0,48.4,47.6,1.7866666666666664,3.4555555555555557,4.538888888888889,76.36363636363636,69.0,1.0,-3.0,0
2008-12-06,8559,8455,6.2,8.8,5.4,10.2,12.2,12.6,1.8,1.6,0.0,0.0,17.6,19.4,5.2,5.8,49.2,59.0,6.527777777777778,3.7277777777777774,1.538888888888889,75.0,83.9090909090909,6.0,6.0,2
2008-12-06,9825,8528,5.6,7.2,5.6,7.4,13.2,11.0,1.6,1.4,0.2,0.0,18.6,24.4,4.8,6.0,49.6,51.4,1.3133333333333335,4.766666666666667,10.277777777777779,80.81818181818181,74.45454545454545,-4.0,3.0,1
2008-12-07,8633,8302,8.8,4.8,6.0,5.6,16.4,13.4,3.4,2.6,0.2,0.2,12.4,12.0,5.2,3.2,56.2,44.8,2.0277777777777777,3.3,3.3777777777777778,82.0,79.18181818181819,-3.0,1.0,2
2008-12-07,8668,10252,5.0,5.6,5.6,5.8,11.0,14.6,0.8,2.0,0.0,0.0,26.4,21.8,4.8,6.4,51.0,48.8,2.5911111111111116,3.2222222222222228,2.68,78.54545454545455,80.0909090909091,3.0,-1.0,2
